,Unnamed: 0,userID,ISBN,Rating,Title,Author,PublicationYear,publisher,bookTitle,bookAuthor,unique_ISBN,Location,Age,TotalRatingCount
0,0,276725,034545104X,0,Flesh Tones: A Novel,M. J. Rose,2002.0,Ballantine Books,,,034545104X,"tyler, texas, usa",34.74663765822785,60
1,6,276744,038550120X,7,A Painted House,JOHN GRISHAM,2001.0,Doubleday,,,038550120X,"torrance, california, usa",34.74663765822785,838
2,13,276747,0060517794,9,Little Altars Everywhere,Rebecca Wells,2003.0,HarperTorch,,,0060517794,"iowa city, iowa, usa",25.0,85
3,14,276747,0451192001,0,How Stella Got Her Groove Back,Terry McMillan,1997.0,Signet Book,,,0451192001,"iowa city, iowa, usa",25.0,210
4,15,276747,0609801279,0,The Law of Love,Laura Esquivel,1997.0,Three Rivers Press (CA),,,0609801279,"iowa city, iowa, usa",25.0,56
5,16,276747,0671537458,9,Waiting to Exhale,Terry McMillan,1995.0,Pocket,,,0671537458,"iowa city, iowa, usa",25.0,134
6,23,276754,0684867621,8,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999.0,Scribner,,,0684867621,"alberta beach, alberta, canada",19.0,118
7,59,276788,0345443683,8,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003.0,Ballantine Books,,,0345443683,"mentone, california, usa",34.74663765822785,50
8,60,276788,043935806X,7,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003.0,Scholastic,,,043935806X,"mentone, california, usa",34.74663765822785,347
9,61,276788,055310666X,10,False Memory,Dean R. Koontz,1999.0,Bantam Books,,,055310666X,"mentone, california, usa",34.74663765822785,227
10,80,276804,0064405176,0,Walk Two Moons,Sharon Creech,1996.0,HarperTrophy,,,0064405176,"st. louis, missouri, usa",14.0,70
11,82,276804,0440498058,8,A Wrinkle In Time,MADELEINE L'ENGLE,1998.0,Yearling,,,0440498058,"st. louis, missouri, usa",14.0,158
12,99,276822,0060096195,10,The Boy Next Door,Meggin Cabot,2002.0,Avon Trade,,,0060096195,"calgary, alberta, canada",11.0,124
13,109,276822,0786817070,10,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002.0,Miramax Kids,,,0786817070,"calgary, alberta, canada",11.0,248
14,126,276830,0440225825,9,Move to Strike,Perri O'Shaughnessy,2001.0,Island,,,0440225825,"ottawa, ontario, canada",34.74663765822785,103
15,127,276832,0316781266,0,The Last Time They Met : A Novel,Anita Shreve,2002.0,Back Bay Books,,,0316781266,"epsom, new hampshire, usa",34.74663765822785,312
16,128,276832,0345446860,5,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002.0,Ballantine Books,,,0345446860,"epsom, new hampshire, usa",34.74663765822785,131
17,133,276840,0385729340,0,The Second Summer of the Sisterhood,ANN BRASHARES,2003.0,Delacorte Books for Young Readers,,,0385729340,"---------, dc, usa",16.0,64
18,189,276850,0449217264,7,Alaska,James A. Michener,1994.0,Fawcett Books,,,0449217264,"toronto, ontario, canada",16.0,101
19,234,276862,0345423402,0,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002.0,Ballantine Books,,,0345423402,"calgary, alberta, canada",34.74663765822785,81
20,257,276869,0345249372,0,Childhood's End,Clarke C.,1976.0,Not Avail,,,0345249372,"bloomington, indiana, usa",31.0,80
21,258,276869,044020562X,0,One,Richard Bach,1989.0,Dell,,,044020562X,"bloomington, indiana, usa",31.0,68
22,275,276887,0671723650,0,How To Win Friends And Influence People,Dale Carnegie,1990.0,Pocket,,,0671723650,"arlington, massachusetts, usa",34.74663765822785,53
